# The following table is formatted as tab separated values. 
#GeneId	GeneName	BioType	Bases affected (DOWNSTREAM)	Total score (DOWNSTREAM)	Length (DOWNSTREAM)	Bases affected (EXON)	Total score (EXON)	Length (EXON)	Bases affected (GENE)	Total score (GENE)	Length (GENE)	Bases affected (INTRON)	Total score (INTRON)	Length (INTRON)	Bases affected (NONE)	Total score (NONE)	Length (NONE)	Bases affected (SPLICE_SITE_ACCEPTOR)	Total score (SPLICE_SITE_ACCEPTOR)	Length (SPLICE_SITE_ACCEPTOR)	Bases affected (SPLICE_SITE_DONOR)	Total score (SPLICE_SITE_DONOR)	Length (SPLICE_SITE_DONOR)	Bases affected (UPSTREAM)	Total score (UPSTREAM)	Length (UPSTREAM)	Bases affected (UTR_3_PRIME)	Total score (UTR_3_PRIME)	Length (UTR_3_PRIME)	Bases affected (UTR_5_PRIME)	Total score (UTR_5_PRIME)	Length (UTR_5_PRIME)	Count (DOWNSTREAM)	Count (EXON)	Count (INTRAGENIC)	Count (INTRON)	Count (SPLICE_SITE_ACCEPTOR)	Count (SPLICE_SITE_DONOR)	Count (UPSTREAM)	Count (UTR_3_PRIME)	Count (UTR_5_PRIME)
ENSG00000077984	CST7	mRNA	0	0	5002	346	249.77	930	3145	383.03	10699	2799	383.03	9769	0	0	0	0	0	6	2	249.77	6	872	249.77	5000	0	0	216	276	249.77	276	0	346	0	2799	0	2	872	0	276
ENSG00000078699	CBFA2T2	mRNA	0	0	30389	0	0	9457	16128	1190.72	159962	16128	1190.72	150505	0	0	0	0	0	32	0	0	34	2838	402.49	25290	0	0	5412	0	0	2222	0	0	0	16128	0	0	2838	0	0
ENSG00000078747	ITCH	mRNA	5882	1507.83	23284	505	1727.48	6664	37801	3806.42	148158	30658	3743.97	141494	0	0	0	8	1665.03	54	9	2011.94	52	2416	446.73	15077	0	0	3599	120	1074.09	401	5882	505	0	30658	8	9	2416	0	120
ENSG00000078804	TP53INP2	mRNA	4317	507.05	9096	2554	776.15	4228	0	0	9150	0	0	4922	0	0	0	6	776.15	10	4	493.97	10	1455	507.7	5445	3081	507.05	3132	93	493.97	433	4317	2554	0	0	6	4	1455	3081	93
ENSG00000078814	MYH7B	mRNA	0	0	10750	0	0	7929	0	0	27035	0	0	19106	0	0	0	0	0	86	0	0	88	0	0	14644	0	0	249	0	0	92	0	0	0	0	0	0	0	0	0
ENSG00000078898	BPIL1	mRNA	0	0	5000	50	215.92	1898	2088	215.92	16110	378	215.92	14212	0	0	0	2	215.92	30	2	215.92	30	37	411.73	5000	8	215.92	326	0	0	195	0	50	0	378	2	2	37	8	0
ENSG00000080189	SLC35C2	mRNA	1960	2395.81	13899	655	2164.07	4118	10303	2164.07	14877	6358	2164.07	10759	0	0	0	6	2164.07	28	6	2164.07	28	5686	1819.75	16207	201	627.18	1417	38	1478.55	575	1960	655	0	6358	6	6	5686	201	38
ENSG00000080839	RBL1	mRNA	1708	1873.64	20000	464	3167.45	5954	36158	4346.09	99647	29119	4346.09	93693	0	0	0	6	3167.45	46	6	3167.45	44	4034	581.74	10006	119	1280.39	2719	0	0	69	1708	464	0	29119	6	6	4034	119	0
ENSG00000080845	DLGAP4	mRNA	0	0	13070	1106	3458.96	8789	29239	4620.13	262783	27905	4620.13	253994	0	0	0	6	2922.57	36	8	3384.89	44	7848	3405.34	43473	0	0	1839	1451	2781.64	2534	0	1106	0	27905	6	8	7848	0	1451
ENSG00000087460	GNAS	mRNA	4070	645.29	22640	1096	1956.81	12603	20527	2325.22	71475	12219	2255.15	58872	0	0	0	10	1817.43	42	8	1736.11	66	9803	1234.4	41401	950	1817.43	3459	172	70.07	822	4070	1096	0	12219	10	8	9803	950	172
ENSG00000087495	PHACTR3	mRNA	1866	414.84	10565	361	1309.38	6095	79965	8301.57	270203	77719	8301.57	264108	0	0	0	2	414.84	28	6	1309.38	36	11037	2031.4	36043	0	0	581	229	518.44	1462	1866	361	0	77719	2	6	11037	0	229
ENSG00000087510	TFAP2C	mRNA	0	0	11008	291	399.93	3112	833	399.93	9982	542	399.93	6870	0	0	0	0	0	12	2	399.93	16	4028	399.93	6580	0	0	1270	243	399.93	936	0	291	0	542	0	2	4028	0	243
ENSG00000087586	AURKA	mRNA	2969	995.97	17411	249	1452.01	2928	12440	995.97	22949	3575	1525.11	20021	0	0	0	4	1452.01	22	4	1452.01	26	3044	522.06	5206	0	0	1081	110	456.04	803	2969	249	0	3575	4	4	3044	0	110
ENSG00000087589	CASS4	mRNA	1839	1268.01	10444	1023	997.03	4025	31492	1705.58	47229	10764	1705.58	43204	0	0	0	4	672.31	12	6	997.03	12	3806	512.18	5196	0	0	593	103	512.18	304	1839	1023	0	10764	4	6	3806	0	103
ENSG00000088298	EDEM2	mRNA	4212	809.37	7668	162	1497.49	3387	29644	3560.51	162769	27918	3560.51	159382	0	0	0	4	1497.49	30	4	1497.49	32	4051	883.19	12208	125	736.86	547	16	760.63	1790	4212	162	0	27918	4	4	4051	125	16
ENSG00000088305	DNMT3B	mRNA	0	0	14913	233	100.75	4756	4206	245.44	46972	3973	245.44	42216	0	0	0	2	100.75	48	0	0	46	0	0	10233	91	100.75	2079	0	0	585	0	233	0	3973	2	0	0	91	0
ENSG00000088320	REM1	mRNA	0	0	5000	0	0	1665	0	0	9613	0	0	7948	0	0	0	0	0	8	0	0	8	2541	263.97	5000	0	0	475	74	263.97	293	0	0	0	0	0	0	2541	0	74
ENSG00000088325	TPX2	mRNA	904	75.21	5000	254	665.21	3605	9359	1025.66	62535	8805	1025.66	58930	0	0	0	2	665.21	36	2	665.21	36	1653	119.03	5000	0	0	725	254	665.21	528	904	254	0	8805	2	2	1653	0	254
ENSG00000088340	FER1L4	mRNA	2084	207.6	24393	387	381.69	9207	5153	495.61	48978	2739	495.61	39771	0	0	0	4	381.69	100	4	381.69	102	4842	495.61	31513	0	0	0	0	0	0	2084	387	0	2739	4	4	4842	0	0
ENSG00000088356	PDRG1	mRNA	0	0	5000	76	312.79	1385	2139	312.79	7138	1321	312.79	5753	0	0	0	2	312.79	8	2	312.79	8	0	0	5000	0	0	852	0	0	131	0	76	0	1321	2	2	0	0	0
ENSG00000088367	EPB41L1	mRNA	3026	497.7	36824	558	850.15	9683	29894	3093.34	141296	28455	3093.34	131613	0	0	0	6	608.36	68	10	850.15	72	6823	1656.38	50065	0	0	5322	558	850.15	2706	3026	558	0	28455	6	10	6823	0	558
ENSG00000088766	CRLS1	mRNA	802	177.8	10530	194	376.31	4805	4833	376.31	33964	2498	376.31	29159	0	0	0	4	376.31	18	4	376.31	20	1339	198.51	16581	92	177.8	3097	0	0	307	802	194	0	2498	4	4	1339	92	0
ENSG00000088782	DEFB127	mRNA	0	0	5000	0	0	514	0	0	1694	0	0	1180	0	0	0	0	0	2	0	0	2	0	0	5000	0	0	139	0	0	75	0	0	0	0	0	0	0	0	0
ENSG00000088812	ATRN	mRNA	915	58.46	13439	91	90.49	8753	5969	329.73	180083	4821	329.73	171330	0	0	0	2	90.49	60	2	90.49	58	0	0	5068	0	0	4866	0	0	68	915	91	0	4821	2	2	0	0	0
ENSG00000088826	SMOX	mRNA	0	0	15771	196	75.95	2946	12068	803.33	66768	11255	803.33	63822	0	0	0	0	0	18	2	75.95	26	3848	267.32	25843	0	0	340	196	75.95	421	0	196	0	11255	0	2	3848	0	196
ENSG00000088827	SIGLEC1	mRNA	0	0	5002	0	0	7886	0	0	20159	0	0	12273	0	0	0	0	0	40	0	0	40	2264	136.29	10000	0	0	2936	0	0	1	0	0	0	0	0	0	2264	0	0
ENSG00000088832	FKBP1A	mRNA	0	0	8134	0	0	2369	5635	406.29	24185	7034	549.41	21816	0	0	0	2	143.12	14	4	325.76	16	4074	381	16220	0	0	1485	0	0	259	0	0	0	7034	2	4	4074	0	0
ENSG00000088833	NSFL1C	mRNA	0	0	22058	521	184.4	5970	2503	184.4	25531	1670	184.4	19561	0	0	0	2	184.4	30	2	184.4	22	3324	208.64	10870	0	0	2194	0	0	1008	0	521	0	1670	2	2	3324	0	0
ENSG00000088836	SLC4A11	mRNA	0	0	8913	0	0	3966	0	0	11825	0	0	7859	0	0	0	0	0	40	0	0	42	0	0	12298	0	0	370	0	0	254	0	0	0	0	0	0	0	0	0
ENSG00000088854	C20orf194	mRNA	0	0	13075	0	0	8864	9518	486.42	158322	9518	486.42	149458	0	0	0	0	0	74	0	0	72	1054	67.88	15000	0	0	4438	0	0	328	0	0	0	9518	0	0	1054	0	0
ENSG00000088876	ZNF343	mRNA	0	0	13568	0	0	4520	0	0	42886	0	0	38366	0	0	0	0	0	14	0	0	16	0	0	15414	0	0	1535	0	0	927	0	0	0	0	0	0	0	0	0
ENSG00000088881	EBF4	mRNA	0	0	19446	0	0	3616	0	0	67275	0	0	63659	0	0	0	0	0	42	0	0	44	0	0	19252	0	0	904	0	0	268	0	0	0	0	0	0	0	0	0
ENSG00000088882	CPXM1	mRNA	0	0	5006	0	0	2391	0	0	6569	0	0	4178	0	0	0	0	0	28	0	0	28	0	0	5010	0	0	121	0	0	208	0	0	0	0	0	0	0	0	0
ENSG00000088888	MAVS	mRNA	0	0	7486	184	55.1	4240	2518	146.98	21794	1981	146.98	17554	0	0	0	2	55.1	14	2	55.1	14	636	55.1	10003	0	0	3561	67	55.1	379	0	184	0	1981	2	2	636	0	67
ENSG00000088899	RP5-1187M17.10	mRNA	1648	320.52	5020	0	0	5349	0	0	10930	0	0	5581	0	0	0	0	0	10	0	0	10	0	0	9985	0	0	1837	0	0	1490	1648	0	0	0	0	0	0	0	0
ENSG00000088930	XRN2	mRNA	1421	227.7	5200	709	1643.15	3489	30338	2102.18	86522	20337	2102.18	83033	0	0	0	6	1188.9	58	6	1415.45	60	1726	663.61	5490	487	227.7	487	54	454.25	336	1421	709	0	20337	6	6	1726	487	54
ENSG00000088970	PLK1S1	mRNA	0	0	17268	190	179.95	4802	25193	2706.83	120637	24345	2706.83	115835	0	0	0	2	52.43	32	4	179.95	40	1412	126.52	30370	0	0	0	0	0	0	0	190	0	24345	2	4	1412	0	0
ENSG00000089006	SNX5	mRNA	3956	262.02	22653	856	106.67	4991	7760	491.73	27383	7760	491.73	22392	0	0	0	2	106.67	40	2	106.67	34	8605	660.4	29043	0	0	760	0	0	454	3956	856	0	7760	2	2	8605	0	0
ENSG00000089012	SIRPG	mRNA	475	207.78	6072	0	0	2244	0	0	28628	1512	67.12	26384	0	0	0	0	0	11	0	0	16	0	0	15258	0	0	487	0	0	245	475	0	0	1512	0	0	0	0	0
ENSG00000089048	ESF1	mRNA	0	0	10000	0	0	3237	2095	137.87	70564	2095	137.87	67327	0	0	0	0	0	28	0	0	28	1576	129.44	6746	0	0	552	0	0	108	0	0	0	2095	0	0	1576	0	0
ENSG00000089050	RBBP9	mRNA	0	0	8262	0	0	3861	0	0	10704	0	0	6843	0	0	0	0	0	10	0	0	10	0	0	5069	0	0	3224	0	0	76	0	0	0	0	0	0	0	0	0
ENSG00000089057	SLC23A2	mRNA	0	0	21300	0	0	7523	23424	1450.48	157938	23424	1450.48	150415	0	0	0	0	0	34	0	0	34	0	0	20031	0	0	4616	0	0	496	0	0	0	23424	0	0	0	0	0
ENSG00000089063	C20orf30	mRNA	0	0	10000	0	0	2038	0	0	13264	0	0	11226	0	0	0	0	0	10	0	0	18	486	89.52	5350	0	0	951	0	0	550	0	0	0	0	0	0	486	0	0
ENSG00000089091	C20orf12	mRNA	3006	419.48	19634	60	287.21	6447	8845	512.79	83819	5786	512.79	77372	0	0	0	2	287.21	57	2	287.21	62	3136	287.21	25835	0	0	1032	0	0	662	3006	60	0	5786	2	2	3136	0	0
ENSG00000089101	C20orf26	mRNA	0	0	64253	0	0	7196	6875	447.03	308189	6875	447.03	300993	0	0	0	0	0	79	0	0	76	1612	140.95	55090	0	0	4110	0	0	2502	0	0	0	6875	0	0	1612	0	0
ENSG00000089123	TASP1	mRNA	0	0	31939	0	0	3367	0	0	372879	0	0	369512	0	0	0	0	0	36	0	0	36	0	0	10037	0	0	1962	0	0	123	0	0	0	0	0	0	0	0	0
ENSG00000089177	KIF16B	mRNA	0	0	15001	0	0	6278	3986	205.94	301330	3986	205.94	295052	0	0	0	0	0	56	0	0	54	0	0	10000	0	0	1452	0	0	2480	0	0	0	3986	0	0	0	0	0
ENSG00000089195	TRMT6	mRNA	0	0	10440	128	269.48	3754	4312	269.48	13302	3635	269.48	9548	0	0	0	2	269.48	20	2	269.48	22	0	0	5131	0	0	702	128	269.48	531	0	128	0	3635	2	2	0	0	128
ENSG00000089199	CHGB	mRNA	1268	83.14	12288	0	0	4535	1268	83.14	13932	1268	83.14	9397	0	0	0	0	0	10	0	0	10	0	0	9068	0	0	312	0	0	360	1268	0	0	1268	0	0	0	0	0
ENSG00000092758	COL9A3	mRNA	93	758.1	19501	197	1223.04	4831	6659	1223.04	24916	1627	1223.04	20085	0	0	0	4	1147.63	64	6	1223.04	72	1296	833.51	22372	219	1147.63	1798	0	0	26	93	197	0	1627	4	6	1296	219	0
ENSG00000100979	PLTP	mRNA	837	467.09	5046	321	2025.15	2402	5425	2025.15	13396	3874	2025.15	10994	0	0	0	6	2025.15	30	6	2025.15	32	5424	2853.61	6218	0	0	181	144	1947.56	803	837	321	0	3874	6	6	5424	0	144
ENSG00000100982	PCIF1	mRNA	0	0	5005	143	756.68	2832	3759	756.68	13396	2572	2304.87	10564	0	0	0	4	2304.87	34	4	2304.87	34	4725	1769.39	10065	0	0	268	168	756.68	364	0	143	0	2572	4	4	4725	0	168
ENSG00000100983	GSS	mRNA	0	0	5395	117	637.58	2325	6661	836.21	27385	6661	836.21	25060	0	0	0	2	637.58	24	2	637.58	26	2746	253.39	13965	0	0	395	83	637.58	760	0	117	0	6661	2	2	2746	0	83
ENSG00000100985	MMP9	mRNA	0	0	5001	156	438.16	2558	6570	438.16	7654	54	438.16	5096	0	0	0	2	438.16	28	2	438.16	28	0	0	8007	0	0	193	236	438.16	255	0	156	0	54	2	2	0	0	236
ENSG00000100987	VSX1	mRNA	2617	306.48	14957	181	306.48	3094	2617	306.48	10877	668	306.48	7783	0	0	0	2	306.48	14	2	306.48	10	0	0	5229	344	306.48	1601	0	0	264	2617	181	0	668	2	2	0	344	0
ENSG00000100991	TRPC4AP	mRNA	0	0	5613	243	1711.96	3226	46399	3193.14	90468	29723	2828.86	87242	0	0	0	4	1284.43	40	6	1347.68	38	3669	485.8	10064	0	0	742	102	427.53	235	0	243	0	29723	4	6	3669	0	102
ENSG00000100994	PYGB	mRNA	1106	249.62	6546	1412	249.62	4474	7171	647.03	49946	5759	397.41	45472	0	0	0	0	0	38	0	0	40	2063	318	14053	1412	249.62	1492	0	0	112	1106	1412	0	5759	0	0	2063	1412	0
ENSG00000100997	ABHD12	mRNA	7947	3943.75	22682	176	3869.77	3142	47005	6803.61	96241	37887	7053.23	93099	0	0	0	4	3869.77	30	4	3869.77	38	7853	4306.6	20867	0	0	877	0	0	334	7947	176	0	37887	4	4	7853	0	0
ENSG00000101000	PROCR	mRNA	0	0	5001	130	244.3	1656	0	0	6439	0	0	4783	0	0	0	2	244.3	10	2	244.3	10	1181	342.55	6047	0	0	549	47	244.3	390	0	130	0	0	2	2	1181	0	47
ENSG00000101003	GINS1	mRNA	0	0	17235	0	0	4190	5957	645.78	44902	5957	645.78	40712	0	0	0	0	0	18	0	0	20	6470	732.96	15004	0	0	2779	0	0	94	0	0	0	5957	0	0	6470	0	0
ENSG00000101004	NINL	mRNA	1674	329.39	22968	350	745.57	6008	20209	2537.02	132813	16623	2537.02	126805	0	0	0	4	745.57	50	4	745.57	47	2034	329.39	28766	0	0	746	11	416.18	75	1674	350	0	16623	4	4	2034	0	11
ENSG00000101017	CD40	mRNA	1348	135.77	7702	79	1320.04	6325	4525	1320.04	11592	3425	1320.04	5267	0	0	0	2	1320.04	22	2	1320.04	20	1931	1320.04	9046	0	0	1080	28	1320.04	4723	1348	79	0	3425	2	2	1931	0	28
ENSG00000101019	UQCC	mRNA	6905	1254.47	22334	1427	1788.23	6917	26481	3007.81	109576	22950	3007.81	102659	0	0	0	6	1569.76	33	6	1569.76	42	8638	1718.87	29449	1825	1788.23	5906	0	0	380	6905	1427	0	22950	6	6	8638	1825	0
ENSG00000101040	ZMYND8	mRNA	0	0	21601	798	3041.64	7687	51894	6007.68	147709	48225	6007.68	140022	0	0	0	6	1612.23	50	8	3041.64	62	10852	1899.53	23751	0	0	1547	50	416.14	870	0	798	0	48225	6	8	10852	0	50
ENSG00000101049	SGK2	mRNA	3669	1077.38	13782	1103	2573.05	3465	8577	2573.05	29270	6474	2573.05	25805	0	0	0	4	1143.59	30	6	2573.05	32	625	1429.46	14327	741	1143.59	1504	192	1429.46	679	3669	1103	0	6474	4	6	625	741	192
ENSG00000101052	IFT52	mRNA	693	84.71	23286	70	292.29	2542	3497	377	56366	3427	377	53824	0	0	0	0	0	28	2	292.29	30	1445	515.28	28907	0	0	313	70	292.29	130	693	70	0	3427	0	2	1445	0	70
ENSG00000101057	MYBL2	mRNA	0	0	5178	67	656.43	2682	3540	656.43	49383	3473	656.43	46701	0	0	0	0	0	26	2	656.43	26	0	0	5043	0	0	409	47	656.43	170	0	67	0	3473	0	2	0	0	47
ENSG00000101074	R3HDML	mRNA	0	0	5000	0	0	1377	0	0	14250	0	0	12873	0	0	0	0	0	8	0	0	8	0	0	5000	0	0	443	0	0	172	0	0	0	0	0	0	0	0	0
ENSG00000101076	HNF4A	mRNA	1572	220.74	11719	0	0	3883	2434	160.12	75691	2434	160.12	71808	0	0	0	0	0	21	0	0	24	0	0	10115	0	0	3177	0	0	208	1572	0	0	2434	0	0	0	0	0
ENSG00000101079	NDRG3	mRNA	2755	581.07	11361	0	0	3248	6241	687.61	94313	6241	687.61	91065	0	0	0	0	0	34	0	0	36	2712	178.38	15025	0	0	1756	0	0	319	2755	0	0	6241	0	0	2712	0	0
ENSG00000101082	SLA2	mRNA	1960	433.78	5201	380	229	2757	5198	710.93	33899	4818	710.93	31142	0	0	0	0	0	16	2	229	14	1586	229	5335	0	0	1651	380	229	423	1960	380	0	4818	0	2	1586	0	380
ENSG00000101084	C20orf24	mRNA	0	0	9364	479	433.78	1517	2319	433.78	6824	756	433.78	5307	0	0	0	2	433.78	8	2	433.78	10	4296	1682.12	7071	65	433.78	743	0	0	218	0	479	0	756	2	2	4296	65	0
ENSG00000101096	NFATC2	mRNA	0	0	9452	736	2212.55	8255	59329	7034.77	175846	57087	7034.77	167591	0	0	0	6	1462.61	24	6	1176.38	24	7868	979.57	15171	9	364.65	4539	353	749.94	474	0	736	0	57087	6	6	7868	9	353
ENSG00000101098	RIMS4	mRNA	32	50.62	5002	0	0	5206	2884	267.25	58531	2884	267.25	53325	0	0	0	0	0	12	0	0	10	815	55.52	5067	0	0	4326	0	0	67	32	0	0	2884	0	0	815	0	0
ENSG00000101104	PABPC1L	mRNA	3890	986.28	18237	848	810.36	4984	6847	902.97	48974	5999	902.97	43990	0	0	0	0	0	46	2	80.41	38	1406	92.61	23994	396	729.95	1654	149	80.41	2841	3890	848	0	5999	0	2	1406	396	149
ENSG00000101109	STK4	mRNA	1730	1347.9	27119	291	2107.57	9079	47620	4935.4	113486	42975	4935.4	104407	0	0	0	6	2107.57	30	6	2107.57	26	3866	759.67	9068	11	799.28	4953	0	0	95	1730	291	0	42975	6	6	3866	11	0
ENSG00000101115	SALL4	mRNA	1719	83	10308	796	254.89	4016	7593	590.65	18434	6614	590.65	14418	0	0	0	2	83	10	4	186.37	14	3217	171.89	10889	0	0	223	0	0	67	1719	796	0	6614	2	4	3217	0	0
ENSG00000101126	ADNP	mRNA	0	0	10148	0	0	6925	0	0	42166	0	0	35241	0	0	0	0	0	10	0	0	12	977	73.66	17397	0	0	2357	0	0	1259	0	0	0	0	0	0	977	0	0
ENSG00000101132	PFDN4	mRNA	0	0	15543	9	248.72	1975	2295	248.72	20206	2286	248.72	18231	0	0	0	2	248.72	12	2	248.72	16	1319	255.32	5581	0	0	965	0	0	254	0	9	0	2286	2	2	1319	0	0
ENSG00000101134	DOK5	mRNA	0	0	15281	0	0	2604	0	0	175575	0	0	172971	0	0	0	0	0	18	0	0	16	0	0	10121	0	0	692	0	0	608	0	0	0	0	0	0	0	0	0
ENSG00000101138	CSTF1	mRNA	5423	1194.05	13525	460	612.24	2724	3447	90.18	12092	5662	612.24	9368	0	0	0	2	522.06	14	4	612.24	18	4428	529.14	5324	0	0	735	32	522.06	477	5423	460	0	5662	2	4	4428	0	32
ENSG00000101144	BMP7	mRNA	0	0	18948	0	0	5418	0	0	97882	0	0	92464	0	0	0	0	0	16	0	0	22	0	0	26006	0	0	2322	0	0	508	0	0	0	0	0	0	0	0	0
ENSG00000101146	RAE1	mRNA	959	243.91	19105	303	616.04	5855	4286	616.04	28202	1110	616.04	22347	0	0	0	4	616.04	24	4	616.04	30	1160	493.09	10567	11	243.91	1469	61	372.13	909	959	303	0	1110	4	4	1160	11	61
ENSG00000101150	TPD52L2	mRNA	2367	1862.46	6121	1782	3229.55	2646	18681	3356.4	26303	6080	3356.4	23657	0	0	0	6	3229.55	20	6	3229.55	18	7745	1931.17	10051	1391	973.87	1600	0	0	123	2367	1782	0	6080	6	6	7745	1391	0
ENSG00000101152	DNAJC5	mRNA	1107	257.83	9912	0	0	5304	20192	930.4	40867	20192	930.4	35563	0	0	0	0	0	10	0	0	10	1122	134.31	5017	0	0	4630	0	0	170	1107	0	0	20192	0	0	1122	0	0
